Name,Registered,Departments,Flags,StaffType,TVAccess,RespawnAccess,CallboxAccess
MarcellaVT,1620190608604,"STORE MANAGER, Deli/Bakery, Girl Kisser","DEVELOPER, ADMIN, MANAGER",ASSOCIATE,TRUE,TRUE,TRUE
DemonitizedBoi,1700707140000,"Nerd, Claims, Customer Service, IT Department","DEVELOPER, ADMIN, SECURITY, TRAINER, MANAGER",ASSOCIATE,TRUE,TRUE,TRUE
KmartWorlds,1569750679822,"Literally God, The World Uploader Themself, Stinky, Probably Gay","DEVELOPER, ADMIN",ASSOCIATE,TRUE,TRUE,TRUE
Tizzy,1451903199390,system_gremlin,PARTNER,EXTERNAL,FALSE,TRUE,TRUE
lowkeykayla,884376000000,LPD AMBASSADOR,PARTNER,EXTERNAL,FALSE,TRUE,TRUE
Kohai~Senpai,1595914793216,Human Resources,"ADMIN, TRAINER, SECURITY",ASSOCIATE,TRUE,TRUE,TRUE
Friskiiii,1670216238796,"Garden, Customer Service, Automotive","SECURITY, MARKETING, TRAINER, DEVELOPER, ADMIN",ASSOCIATE,TRUE,TRUE,TRUE
Smirf123,1619096956226,"Customer Service, Having a billing issue, IT Department",DEVELOPER,ASSOCIATE,TRUE,TRUE,TRUE
Ermina West,1718060054721,"GENERAL MANAGER, Human Resources","ADMIN, DEVELOPER, MANAGER, PARTNER",ASSOCIATE,TRUE,TRUE,TRUE
「ᴊᴄ」,1519871728936,Electronics,"DEVELOPER, MARKETING",ASSOCIATE,TRUE,TRUE,FALSE
Chilgt,1520966253178,"Hardlines, Customer Service",NONE,ASSOCIATE,FALSE,FALSE,FALSE
［Jagga］,1725343270625,"Clown, A Literal Record Player, Tea Enjoyer, Invisible VTuber",DEVELOPER,ASSOCIATE,TRUE,TRUE,TRUE
Jade Furry,1732765066843,Electronics,DEVELOPER,ASSOCIATE,TRUE,TRUE,TRUE
AmusedBirb,1609576636925,Hardlines,"MANAGER, MARKETING",ASSOCIATE,TRUE,TRUE,TRUE
NylaB0nes,1700707140000,Customer Service,MANAGER,ASSOCIATE,TRUE,TRUE,TRUE
AgentWanderer,1644435554467,Customer Service,AST_MANAGER,ASSOCIATE,FALSE,TRUE,TRUE
CucumberWator,1675578940693,KCafe,MANAGER,ASSOCIATE,TRUE,TRUE,TRUE
ThatSystemWho,1718060054721,KCafe,NONE,ASSOCIATE,FALSE,FALSE,FALSE
Koyaemi,1707682125445,Janitorial,MANAGER,ASSOCIATE,TRUE,TRUE,TRUE
Jammin' Jon,1660574061049,Layaway,MANAGER,ASSOCIATE,TRUE,TRUE,TRUE
Yoshie Hayashi,1699593949761,Garden,"MANAGER, DEVELOPER",ASSOCIATE,TRUE,TRUE,TRUE
Marinesargent26,1718060054721,"Garden, Claims",NONE,ASSOCIATE,FALSE,FALSE,FALSE
Mavryn Arex,1673427328419,"fUckin MAV, Deli/Bakery",MANAGER,ASSOCIATE,TRUE,TRUE,TRUE
N3RV3SSOPSYCH,1718060054721,Home Improvement,NONE,ASSOCIATE,FALSE,FALSE,FALSE
Panzaa,1718060054721,Automotive,"DEVELOPER, MANAGER",ASSOCIATE,TRUE,TRUE,TRUE
AmiaTwi,1715834990119,Portrait Studio,AST_MANAGER,ASSOCIATE,FALSE,TRUE,TRUE
RexWolfenVRC1,1677977682853,Electronics,MANAGER,ASSOCIATE,TRUE,TRUE,TRUE
ShinyZards,1673665295969,Pharmacy,MANAGER,ASSOCIATE,TRUE,TRUE,TRUE
Rustthelion,1671152658317,Pharmacy,AST_MANAGER,ASSOCIATE,FALSE,TRUE,TRUE
sam555,1718060054721,Good Doggo,SECURITY,ASSOCIATE,FALSE,TRUE,TRUE
Snord,1718060054721,"Snord, Snova, Snoodle, Snording Drugs",MARKETING,ASSOCIATE,TRUE,TRUE,TRUE
Zenduko,1718060054721,"Sporting Goods, Customer Service",NONE,ASSOCIATE,FALSE,FALSE,FALSE
JadeBingus,1626840561229,Claims,NONE,ASSOCIATE,FALSE,FALSE,FALSE
﮴tea,1718060054721,Tea Enjoyer,"SECURITY, MANAGER",ASSOCIATE,FALSE,FALSE,FALSE
FlyingSeacat,1718060054721,Layaway,NONE,ASSOCIATE,FALSE,FALSE,FALSE
HighestInDaRoom,1695964195195,"Addicted to Fortnite, NO DEPARTMENTS SELECTED",SECURITY,ASSOCIATE,FALSE,TRUE,TRUE
Ϳeff,1718060054721,NO DEPARTMENTS SELECTED,SECURITY,ASSOCIATE,FALSE,TRUE,TRUE
NovakatVT,1718060054721,Sporting Goods,SECURITY,ASSOCIATE,FALSE,TRUE,TRUE
luckydoomknight,1718060054721,NO DEPARTMENTS SELECTED,SECURITY,ASSOCIATE,FALSE,TRUE,TRUE
JCloud,1722304800000,NO DEPARTMENTS SELECTED,SECURITY,ASSOCIATE,FALSE,TRUE,TRUE
Purple_Emma,1718060054721,"Customer Service, Automotive",NONE,ASSOCIATE,FALSE,FALSE,FALSE
Smoogley,1718060054721,Customer Service,NONE,ASSOCIATE,FALSE,FALSE,FALSE
Sonreckoner,1718060054721,"Electronics, Pharmacy",NONE,ASSOCIATE,FALSE,FALSE,FALSE
Cpt Caldwell,1672295108444,Sporting Goods,SECURITY,ASSOCIATE,FALSE,TRUE,TRUE
Dubby˚,1718060054721,Sporting Goods,SECURITY,ASSOCIATE,TRUE,TRUE,TRUE
Lankev78,1725069785045,"Sporting Goods, Automotive",NONE,ASSOCIATE,FALSE,FALSE,FALSE
Somniumscape,1718060054721,"Electronics, Janitorial, Deli/Bakery",NONE,ASSOCIATE,FALSE,FALSE,FALSE
ButterflyCutie,1718060054721,Pharmacy,NONE,ASSOCIATE,FALSE,FALSE,FALSE
Jacob94,1718060054721,Pharmacy,NONE,ASSOCIATE,FALSE,FALSE,FALSE
devsgone,1718060054721,"Customer Service, Deli/Bakery, Pharmacy",NONE,ASSOCIATE,FALSE,FALSE,FALSE
Comicbomb,1718060054721,Pharmacy,NONE,ASSOCIATE,FALSE,FALSE,FALSE
nickm,1595979352360,Automotive,NONE,ASSOCIATE,FALSE,FALSE,FALSE
GhostlyScratch,1701284514609,Automotive,NONE,ASSOCIATE,FALSE,FALSE,FALSE
Mogami K․,1718060054721,Electronics,NONE,ASSOCIATE,FALSE,FALSE,FALSE
-spiritwolf-,1718060054721,Customer Service,NONE,ASSOCIATE,FALSE,FALSE,FALSE
Aliceღ,1671295105405,Electronics,NONE,ASSOCIATE,FALSE,FALSE,FALSE
evaqn123,1718060054721,Pharmacy,NONE,ASSOCIATE,FALSE,FALSE,FALSE
Illucio,1718060054721,Customer Service,NONE,ASSOCIATE,FALSE,FALSE,FALSE
jack14050,1718060054721,"Electronics, KCafe",NONE,ASSOCIATE,FALSE,FALSE,FALSE
Foran,1699734871437,"Local Ice Fairy, Hardlines, Portrait Studio",NONE,ASSOCIATE,FALSE,FALSE,FALSE
Dot Katsu,1725438753932,Janitorial,NONE,ASSOCIATE,FALSE,FALSE,FALSE
Pickleson47,1723088491688,Deli/Bakery,NONE,ASSOCIATE,FALSE,FALSE,FALSE
Sweet1019,1723083634754,Pharmacy,NONE,ASSOCIATE,FALSE,FALSE,FALSE
Legoman99573,1701055512575,"Janitorial, Redbox Restocker",NONE,ASSOCIATE,FALSE,FALSE,FALSE
CilCil,1741496824950,"Claims, Redbox Restocker",NONE,ASSOCIATE,FALSE,FALSE,FALSE
Wokipokei,1718099154731,Electronics,NONE,ASSOCIATE,FALSE,FALSE,FALSE
ComboWDash,1723534510492,Pharmacy,NONE,ASSOCIATE,FALSE,FALSE,FALSE
Elfatuation,1721510682586,Pharmacy,NONE,ASSOCIATE,FALSE,FALSE,FALSE
LukeTheLPSWolf,1700110398070,"Electronics, Customer Service",NONE,ASSOCIATE,FALSE,FALSE,FALSE
-~Vegas~-,1695074635163,Sporting Goods,NONE,ASSOCIATE,FALSE,FALSE,FALSE
mattmatt122,1722638830853,Electronics,NONE,ASSOCIATE,FALSE,FALSE,FALSE
CorruptTag,1722638830853,"Electronics, Automotive, Claims",NONE,ASSOCIATE,FALSE,FALSE,FALSE
SpyFolf,1670545433687,"Electronics, Customer Service",NONE,ASSOCIATE,FALSE,FALSE,FALSE
Ruby Rose,1595691876906,"Customer Service, Pharmacy, Hardlines",NONE,ASSOCIATE,FALSE,FALSE,FALSE
Mr․SpiderKing,1726036910287,Sporting Goods,NONE,ASSOCIATE,FALSE,FALSE,FALSE
Duskyღ,1674866746125,"Claims, Chicken Jockey, Flint and Steel, La-La-La Lava Chi-Chi-Chi-Chicken",NONE,ASSOCIATE,FALSE,FALSE,FALSE
Ciel Freeman,1718883769842,"Deli/Bakery, Sporting Goods",NONE,ASSOCIATE,FALSE,FALSE,FALSE
neostarx,1677496269308,Customer Service,DEVELOPER,ASSOCIATE,TRUE,TRUE,TRUE
Cart Narcs,1688699003673,"Hardlines, Customer Service",NONE,ASSOCIATE,FALSE,FALSE,FALSE
Masked_Majora64,1718883769842,"Electronics, Mamehinata Enthusiast",NONE,ASSOCIATE,FALSE,FALSE,FALSE
s0la_c0rvus,1718883769842,Janitorial,NONE,ASSOCIATE,FALSE,FALSE,FALSE
Razer345,1718883769842,"KCafe, Customer Service",NONE,ASSOCIATE,FALSE,FALSE,FALSE
Вubblеѕ,1706012400000,KCafe,NONE,ASSOCIATE,FALSE,FALSE,FALSE
NightPanda25,1696375200000,Hardlines,NONE,ASSOCIATE,FALSE,FALSE,FALSE
Piyes,1718883769842,KCafe,NONE,ASSOCIATE,FALSE,FALSE,FALSE
xXLilShrimpyXx,1729234764392,"Boy wife, Electronics, Boy kisser",SECURITY,ASSOCIATE,TRUE,TRUE,TRUE
VanIsLivid,1730541876117,KCafe,NONE,ASSOCIATE,FALSE,FALSE,FALSE
Syndx,1730541707002,Electronics,NONE,ASSOCIATE,FALSE,FALSE,FALSE
AmericanMemes,1732251991000,KCafe,NONE,ASSOCIATE,FALSE,FALSE,FALSE
AmeliaRoseNZ,1732291200000,Customer Service,NONE,ASSOCIATE,FALSE,FALSE,FALSE
CastOpex2020,1732418396542,Electronics,SECURITY,ASSOCIATE,TRUE,TRUE,TRUE
Norelock,1734092202971,NO DEPARTMENTS SELECTED,DEVELOPER,ASSOCIATE,FALSE,FALSE,FALSE
Tired_The_Proto,1591744800000,"KCafe, Customer Service",NONE,ASSOCIATE,FALSE,FALSE,FALSE
ChloeEPrice,1718060054721,Electronics,NONE,ASSOCIATE,FALSE,FALSE,FALSE
Connerdacatboy,1735757920454,Kmart Weatherman,NONE,ASSOCIATE,TRUE,FALSE,FALSE
Kashikuzi,1717975200000,Pharmacy,PARTNER,ASSOCIATE,TRUE,TRUE,TRUE
FuzzyLiama,1736546939017,KCafe,DEVELOPER,ASSOCIATE,TRUE,TRUE,TRUE
yeen125,1650496800000,Electronics,"DEVELOPER, MARKETING",ASSOCIATE,TRUE,TRUE,TRUE
ღRini Sakuraღ,1699819893423,Sporting Goods,NONE,ASSOCIATE,FALSE,FALSE,FALSE
sashlilac34,1737145834000,Customer Service,NONE,ASSOCIATE,FALSE,FALSE,FALSE
sᴇɴᴋᴏ-sᴀɴ キツネ,1674469200000,Customer Service,NONE,ASSOCIATE,FALSE,FALSE,FALSE
Lumanare,1739560003763,Electronics,NONE,ASSOCIATE,FALSE,FALSE,FALSE
Fukaziroh,-22074000000,"LPD Enjoyer, Stinky White Shirt, Is Ruining Everything, Is Gay!",PARTNER,EXTERNAL,TRUE,TRUE,TRUE
UrbanArtifact,1727208904193,"Thesis Enjoyer, Stinky, Nerd, better get an A",PARTNER,ASSOCIATE,TRUE,TRUE,TRUE
BonBonowo,1741496824934,"Store Prostitute, Automotive",DEVELOPER,ASSOCIATE,TRUE,TRUE,TRUE
Lyff,1741496824939,Kmart Advisor,DEVELOPER,ASSOCIATE,TRUE,TRUE,TRUE
Misha Lane,1741496824940,KCafe,NONE,ASSOCIATE,FALSE,FALSE,FALSE
Blitz-the-pup,1741496824944,Electronics,NONE,ASSOCIATE,FALSE,FALSE,FALSE
Elais_Ains,1741496824944,Janitorial,NONE,ASSOCIATE,FALSE,FALSE,FALSE
Lordthomas11,1741496824945,Pharmacy,NONE,ASSOCIATE,FALSE,FALSE,FALSE
Koda White Wolf,1741496824946,Pharmacy,NONE,ASSOCIATE,FALSE,FALSE,FALSE
enzopuppydog,1741496824949,Electronics,NONE,ASSOCIATE,FALSE,FALSE,FALSE
Snappers1,1741496824951,Electronics,NONE,ASSOCIATE,FALSE,FALSE,FALSE
Jaytheshadow,1741496824952,Electronics,NONE,ASSOCIATE,FALSE,FALSE,FALSE
2ndJakkufear,1741501008011,Electronics,NONE,ASSOCIATE,FALSE,FALSE,FALSE
SgtHomura,1741829276213,Customer Service,NONE,ASSOCIATE,FALSE,FALSE,FALSE
Sovietdog122l,1741829276222,Layaway,NONE,ASSOCIATE,FALSE,FALSE,FALSE
Neon_Fennix,1741829276224,Janitorial,NONE,ASSOCIATE,FALSE,FALSE,FALSE
KallieCocoa,1741496824943,Customer Service,NONE,ASSOCIATE,FALSE,FALSE,FALSE
roflgator,1742360691345,Content Creator,PARTNER,EXTERNAL,TRUE,TRUE,TRUE
MurderCrumpet,1742360691351,Content Creator,PARTNER,EXTERNAL,TRUE,TRUE,TRUE
taako_times,1742524481161,Deli/Bakery,NONE,ASSOCIATE,FALSE,FALSE,FALSE
XenoSpark,1742524481166,Hardlines,NONE,ASSOCIATE,FALSE,FALSE,FALSE
Sugar Fang,1742524481166,Portrait Studio,NONE,ASSOCIATE,FALSE,FALSE,FALSE
nylahquil,1742524481168,Electronics,NONE,ASSOCIATE,FALSE,FALSE,FALSE
GibbytheButler,1731706256158,Janitorial,NONE,ASSOCIATE,FALSE,FALSE,FALSE
Ventile Lorbet,1743213831397,Janitorial,NONE,ASSOCIATE,FALSE,FALSE,FALSE
Disco Incarnate,1743213831402,"Store Prostitute, Portrait Studio","SECURITY, MANAGER, TRAINER",ASSOCIATE,TRUE,TRUE,TRUE
Glowyshard,1743213831403,Deli/Bakery,NONE,ASSOCIATE,FALSE,FALSE,FALSE
DaKcBomb,1744597689448,Customer Service,NONE,ASSOCIATE,FALSE,FALSE,FALSE
SaltineCrackers,1744597689454,Customer Service,NONE,ASSOCIATE,FALSE,FALSE,FALSE
FluxxieVerse,1744597689456,Customer Service,NONE,ASSOCIATE,FALSE,FALSE,FALSE
K11LL3R,1744597689457,KCafe,NONE,ASSOCIATE,FALSE,FALSE,FALSE
PortalTardis,1626639600000,Electronics,DEVELOPER,ASSOCIATE,TRUE,TRUE,TRUE
Lt_Shadow,1744652551493,NO DEPARTMENTS SELECTED,"DEVELOPER, PARTNER",ASSOCIATE,TRUE,TRUE,TRUE
offmass8,1744801348351,Customer Service,MARKETING,ASSOCIATE,TRUE,TRUE,TRUE
jneko,1618960800000,"Customer Service, Hardlines",NONE,ASSOCIATE,FALSE,FALSE,FALSE
AryeWilovins,1745542269273,Electronics,NONE,ASSOCIATE,FALSE,FALSE,FALSE
Supervigy,1745626138864,KCafe,NONE,ASSOCIATE,FALSE,FALSE,FALSE
snoweywolfcat,1745626138869,Pharmacy,NONE,ASSOCIATE,FALSE,FALSE,FALSE
Karet,1589448000000,NO DEPARTMENTS SELECTED,"PARTNER, DEVELOPER",EXTERNAL,TRUE,TRUE,TRUE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
,,,,,FALSE,FALSE,FALSE
